City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Goma,-1.6792,29.2228,65.46,87,100,1.3,CD,2022-04-17 18:50:52
278,Constantine,36.365,6.6147,56.61,71,40,14.97,DZ,2022-04-17 18:47:41
279,Nuuk,64.1835,-51.7216,29.01,80,100,12.66,GL,2022-04-17 18:47:42
280,Manacapuru,-3.2997,-60.6206,83.89,72,100,0.38,BR,2022-04-17 18:50:52
281,Manzil Salim,35.8567,8.4765,51.3,70,1,11.36,TN,2022-04-17 18:50:52
282,Port Blair,11.6667,92.75,78.84,94,20,2.3,IN,2022-04-17 18:50:53
283,Ritchie,-29.038,24.6028,58.21,69,13,3.27,ZA,2022-04-17 18:50:53
284,Warrnambool,-38.3833,142.4833,59.81,92,100,6.22,AU,2022-04-17 18:50:53
285,Petatlan,17.5167,-101.2667,89.94,37,97,8.32,MX,2022-04-17 18:50:54
286,Ilhabela,-23.7781,-45.3581,71.76,69,67,4.16,BR,2022-04-17 18:50:54
287,Orlik,52.5178,99.825,29.48,79,79,3.38,RU,2022-04-17 18:50:54
288,Kaitangata,-46.2817,169.8464,42.28,92,6,4.05,NZ,2022-04-17 18:50:54
289,Kasumigaura,36.152,140.2361,52.03,93,75,0.0,JP,2022-04-17 18:50:55
290,Bandarbeyla,9.4942,50.8122,82.17,79,6,6.04,SO,2022-04-17 18:50:55
291,Grand-Lahou,5.1367,-5.0242,76.82,91,100,6.96,CI,2022-04-17 18:50:55
292,Luganville,-15.5333,167.1667,78.19,85,87,3.69,VU,2022-04-17 18:50:56
293,Port Elizabeth,-33.918,25.5701,65.32,99,20,9.22,ZA,2022-04-17 18:46:09
